index,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,leased
1,13300000,7420,4,2,3,1,0,0,0,1,2,1,2,yes
2,12250000,8960,4,4,4,1,0,0,0,1,3,0,2,no
3,12250000,9960,3,2,2,1,0,1,0,0,2,1,1,no
4,12215000,7500,4,2,2,1,0,1,0,1,3,1,2,yes
5,11410000,7420,4,1,2,1,1,1,0,1,2,0,2,yes
6,10850000,7500,3,3,1,1,0,1,0,1,2,1,1,no
7,10150000,8580,4,3,4,1,0,0,0,1,2,1,1,no
8,10150000,16200,5,3,2,1,0,0,0,0,0,0,0,yes
9,9870000,8100,4,1,2,1,1,1,0,1,2,1,2,yes
10,9800000,5750,3,2,4,1,1,0,0,1,1,1,0,yes
11,9800000,13200,3,1,2,1,0,1,0,1,2,1,2,no
12,9681000,6000,4,3,2,1,1,1,1,0,2,0,1,no
13,9310000,6550,4,2,2,1,0,0,0,1,1,1,1,yes
14,9240000,3500,4,2,2,1,0,0,1,0,2,0,2,no
15,9240000,7800,3,2,2,1,0,0,0,0,0,1,1,yes
16,9100000,6000,4,1,2,1,0,1,0,0,2,0,1,no
17,9100000,6600,4,2,2,1,1,1,0,1,1,1,0,no
18,8960000,8500,3,2,4,1,0,0,0,1,2,0,2,no
19,8890000,4600,3,2,2,1,1,0,0,1,2,0,2,yes
20,8855000,6420,3,2,2,1,0,0,0,1,1,1,1,no
21,8750000,4320,3,1,2,1,0,1,1,0,2,0,1,yes
22,8680000,7155,3,2,1,1,1,1,0,1,2,0,0,no
23,8645000,8050,3,1,1,1,1,1,0,1,1,0,2,yes
24,8645000,4560,3,2,2,1,1,1,0,1,1,0,2,no
25,8575000,8800,3,2,2,1,0,0,0,1,2,0,2,no
26,8540000,6540,4,2,2,1,1,1,0,1,2,1,2,no
27,8463000,6000,3,2,4,1,1,1,0,1,0,1,1,yes
28,8400000,8875,3,1,1,1,0,0,0,0,1,0,1,yes
29,8400000,7950,5,2,2,1,0,1,1,0,2,0,0,yes
30,8400000,5500,4,2,2,1,0,1,0,1,1,1,1,yes
31,8400000,7475,3,2,4,1,0,0,0,1,2,0,0,no
32,8400000,7000,3,1,4,1,0,0,0,1,2,0,1,no
33,8295000,4880,4,2,2,1,0,0,0,1,1,1,2,yes
34,8190000,5960,3,3,2,1,1,1,0,0,1,0,0,yes
35,8120000,6840,5,1,2,1,1,1,0,1,1,0,2,no
36,8080940,7000,3,2,4,1,0,0,0,1,2,0,2,yes
37,8043000,7482,3,2,3,1,0,0,1,0,1,1,2,no
38,7980000,9000,4,2,4,1,0,0,0,1,2,0,2,yes
39,7962500,6000,3,1,4,1,1,0,0,1,2,0,0,yes
40,7910000,6000,4,2,4,1,0,0,0,1,1,0,1,no
41,7875000,6550,3,1,2,1,0,1,0,1,0,1,2,no
42,7840000,6360,3,2,4,1,0,0,0,1,0,1,2,no
43,7700000,6480,3,2,4,1,0,0,0,1,2,0,0,no
44,7700000,6000,4,2,4,1,0,0,0,0,2,0,1,no
45,7560000,6000,4,2,4,1,0,0,0,1,1,0,2,no
46,7560000,6000,3,2,3,1,0,0,0,1,0,0,1,yes
47,7525000,6000,3,2,4,1,0,0,0,1,1,0,2,yes
48,7490000,6600,3,1,4,1,0,0,0,1,3,1,2,no
49,7455000,4300,3,2,2,1,0,1,0,0,1,0,0,yes
50,7420000,7440,3,2,1,1,1,1,0,1,0,1,1,no
51,7420000,7440,3,2,4,1,0,0,0,0,1,1,0,yes
52,7420000,6325,3,1,4,1,0,0,0,1,1,0,0,yes
53,7350000,6000,4,2,4,1,1,0,0,1,1,0,2,yes
54,7350000,5150,3,2,4,1,0,0,0,1,2,0,1,yes
55,7350000,6000,3,2,2,1,1,0,0,1,1,0,1,yes
56,7350000,6000,3,1,2,1,0,0,0,1,1,0,0,no
57,7343000,11440,4,1,2,1,0,1,0,0,1,1,1,yes
58,7245000,9000,4,2,4,1,1,0,0,1,1,1,2,no
59,7210000,7680,4,2,4,1,1,0,0,1,1,0,1,no
60,7210000,6000,3,2,4,1,1,0,0,1,1,0,2,yes
61,7140000,6000,3,2,2,1,1,0,0,0,1,0,1,no
62,7070000,8880,2,1,1,1,0,0,0,1,1,0,1,yes
63,7070000,6240,4,2,2,1,0,0,0,1,1,0,2,yes
64,7035000,6360,4,2,3,1,0,0,0,1,2,1,2,yes
65,7000000,11175,3,1,1,1,0,1,0,1,1,1,2,yes
66,6930000,8880,3,2,2,1,0,1,0,1,1,0,2,no
67,6930000,13200,2,1,1,1,0,1,1,0,1,0,2,no
68,6895000,7700,3,2,1,1,0,0,0,0,2,0,0,yes
69,6860000,6000,3,1,1,1,0,0,0,1,1,0,2,yes
70,6790000,12090,4,2,2,1,0,0,0,0,2,1,2,yes
71,6790000,4000,3,2,2,1,0,1,0,1,0,1,1,yes
72,6755000,6000,4,2,4,1,0,0,0,1,0,0,0,no
73,6720000,5020,3,1,4,1,0,0,0,1,0,1,0,yes
74,6685000,6600,2,2,4,1,0,1,0,0,0,1,2,yes
75,6650000,4040,3,1,2,1,0,1,1,0,1,0,2,no
76,6650000,4260,4,2,2,1,0,0,1,0,0,0,1,yes
77,6650000,6420,3,2,3,1,0,0,0,1,0,1,2,no
78,6650000,6500,3,2,3,1,0,0,0,1,0,1,2,yes
79,6650000,5700,3,1,1,1,1,1,0,1,2,1,2,yes
80,6650000,6000,3,2,3,1,1,0,0,1,0,0,2,yes
81,6629000,6000,3,1,2,1,0,0,1,0,1,1,1,yes
82,6615000,4000,3,2,2,1,0,1,0,1,1,0,1,no
83,6615000,10500,3,2,1,1,0,1,0,1,1,1,2,no
84,6580000,6000,3,2,4,1,0,0,0,1,0,0,1,yes
85,6510000,3760,3,1,2,1,0,0,1,0,2,0,1,yes
86,6510000,8250,3,2,3,1,0,0,0,1,0,0,2,no
87,6510000,6670,3,1,3,1,0,1,0,0,0,1,0,yes
88,6475000,3960,3,1,1,1,0,1,0,0,2,0,1,yes
89,6475000,7410,3,1,1,1,1,1,0,1,2,1,0,no
90,6440000,8580,5,3,2,1,0,0,0,0,2,0,2,yes
91,6440000,5000,3,1,2,1,0,0,0,1,0,0,1,no
92,6419000,6750,2,1,1,1,1,1,0,0,2,1,2,no
93,6405000,4800,3,2,4,1,1,0,0,1,0,0,2,no
94,6300000,7200,3,2,1,1,0,1,0,1,3,0,1,no
